datacenter_scenario,ubicacion,epoch,it_energy_kwh,it_carbon_g,datacenter_pue,grid_carbon_intensity_g_per_kwh,total_datacenter_energy_kwh,total_datacenter_carbon_kg,total_datacenter_carbon_g
"Escenario B (Singapore, PUE 1.75)",Singapore,44,0.000128359,0.033310604,1.75,452.14,0.000224628,0.000101563445,0.101563445
"Escenario A (Finland, PUE 1.25)",Finland,45,0.000129708,0.033660581,1.25,76.02,0.000162135,0.000012326010,0.012326010
"Escenario B (Singapore, PUE 1.75)",Singapore,45,0.000129708,0.033660581,1.75,452.14,0.000226988,0.000102630519,0.102630519
"Escenario A (Finland, PUE 1.25)",Finland,46,0.000128361,0.033310992,1.25,76.02,0.000160451,0.000012197996,0.012197996
"Escenario B (Singapore, PUE 1.75)",Singapore,46,0.000128361,0.033310992,1.75,452.14,0.000224631,0.000101564628,0.101564628
"Escenario A (Finland, PUE 1.25)",Finland,47,0.000127499,0.033087409,1.25,76.02,0.000159374,0.000012116123,0.012116123
"Escenario B (Singapore, PUE 1.75)",Singapore,47,0.000127499,0.033087409,1.75,452.14,0.000223123,0.000100882927,0.100882927
"Escenario A (Finland, PUE 1.25)",Finland,48,0.000129711,0.033661524,1.25,76.02,0.000162139,0.000012326356,0.012326356
"Escenario B (Singapore, PUE 1.75)",Singapore,48,0.000129711,0.033661524,1.75,452.14,0.000226995,0.000102633393,0.102633393
"Escenario A (Finland, PUE 1.25)",Finland,49,0.000129363,0.033571049,1.25,76.02,0.000161703,0.000012293225,0.012293225
"Escenario B (Singapore, PUE 1.75)",Singapore,49,0.000129363,0.033571049,1.75,452.14,0.000226385,0.000102357536,0.102357536
"Escenario A (Finland, PUE 1.25)",Finland,50,0.000130382,0.033835675,1.25,76.02,0.000162978,0.000012390127,0.012390127
"Escenario B (Singapore, PUE 1.75)",Singapore,50,0.000130382,0.033835675,1.75,452.14,0.000228169,0.000103164378,0.103164378
"Escenario A (Finland, PUE 1.25)",Finland,51,0.000131226,0.034054525,1.25,76.02,0.000164032,0.000012470267,0.012470267
"Escenario B (Singapore, PUE 1.75)",Singapore,51,0.000131226,0.034054525,1.75,452.14,0.000229645,0.000103831647,0.103831647
"Escenario A (Finland, PUE 1.25)",Finland,52,0.000127213,0.033013202,1.25,76.02,0.000159016,0.000012088950,0.012088950
"Escenario B (Singapore, PUE 1.75)",Singapore,52,0.000127213,0.033013202,1.75,452.14,0.000222623,0.000100656672,0.100656672
"Escenario A (Finland, PUE 1.25)",Finland,53,0.000129732,0.033666952,1.25,76.02,0.000162165,0.000012328343,0.012328343
"Escenario B (Singapore, PUE 1.75)",Singapore,53,0.000129732,0.033666952,1.75,452.14,0.000227031,0.000102649944,0.102649944
"Escenario A (Finland, PUE 1.25)",Finland,54,0.000129552,0.033620113,1.25,76.02,0.000161940,0.000012311192,0.012311192
"Escenario B (Singapore, PUE 1.75)",Singapore,54,0.000129552,0.033620113,1.75,452.14,0.000226715,0.000102507133,0.102507133
"Escenario A (Finland, PUE 1.25)",Finland,55,0.000126173,0.032743304,1.25,76.02,0.000157716,0.000011990117,0.011990117
"Escenario B (Singapore, PUE 1.75)",Singapore,55,0.000126173,0.032743304,1.75,452.14,0.000220803,0.000099833756,0.099833756
"Escenario A (Finland, PUE 1.25)",Finland,56,0.000128232,0.033277658,1.25,76.02,0.000160290,0.000012185790,0.012185790
"Escenario B (Singapore, PUE 1.75)",Singapore,56,0.000128232,0.033277658,1.75,452.14,0.000224406,0.000101462993,0.101462993
"Escenario A (Finland, PUE 1.25)",Finland,57,0.000128888,0.033447749,1.25,76.02,0.000161109,0.000012248074,0.012248074
"Escenario B (Singapore, PUE 1.75)",Singapore,57,0.000128888,0.033447749,1.75,452.14,0.000225553,0.000101981596,0.101981596
"Escenario A (Finland, PUE 1.25)",Finland,58,0.000127907,0.033193241,1.25,76.02,0.000159883,0.000012154878,0.012154878
"Escenario B (Singapore, PUE 1.75)",Singapore,58,0.000127907,0.033193241,1.75,452.14,0.000223837,0.000101205609,0.101205609
"Escenario A (Finland, PUE 1.25)",Finland,59,0.000129634,0.033641566,1.25,76.02,0.000162043,0.000012319047,0.012319047
"Escenario B (Singapore, PUE 1.75)",Singapore,59,0.000129634,0.033641566,1.75,452.14,0.000226860,0.000102572542,0.102572542
"Escenario A (Finland, PUE 1.25)",Finland,60,0.000131997,0.034254629,1.25,76.02,0.000164996,0.000012543542,0.012543542
"Escenario B (Singapore, PUE 1.75)",Singapore,60,0.000131997,0.034254629,1.75,452.14,0.000230994,0.000104441762,0.104441762
"Escenario A (Finland, PUE 1.25)",Finland,61,0.000130596,0.033891010,1.25,76.02,0.000163244,0.000012410390,0.012410390
"Escenario B (Singapore, PUE 1.75)",Singapore,61,0.000130596,0.033891010,1.75,452.14,0.000228542,0.000103333093,0.103333093
"Escenario A (Finland, PUE 1.25)",Finland,62,0.000127532,0.033095980,1.25,76.02,0.000159415,0.000012119262,0.012119262
"Escenario B (Singapore, PUE 1.75)",Singapore,62,0.000127532,0.033095980,1.75,452.14,0.000223181,0.000100909061,0.100909061
"Escenario A (Finland, PUE 1.25)",Finland,63,0.000128861,0.033440755,1.25,76.02,0.000161076,0.000012245514,0.012245514
"Escenario B (Singapore, PUE 1.75)",Singapore,63,0.000128861,0.033440755,1.75,452.14,0.000225506,0.000101960275,0.101960275
"Escenario A (Finland, PUE 1.25)",Finland,64,0.000128363,0.033311741,1.25,76.02,0.000160454,0.000012198270,0.012198270
"Escenario B (Singapore, PUE 1.75)",Singapore,64,0.000128363,0.033311741,1.75,452.14,0.000224636,0.000101566911,0.101566911
"Escenario A (Finland, PUE 1.25)",Finland,65,0.000129581,0.033627776,1.25,76.02,0.000161977,0.000012313998,0.012313998
"Escenario B (Singapore, PUE 1.75)",Singapore,65,0.000129581,0.033627776,1.75,452.14,0.000226767,0.000102530497,0.102530497
"Escenario A (Finland, PUE 1.25)",Finland,66,0.000131293,0.034072011,1.25,76.02,0.000164116,0.000012476670,0.012476670
"Escenario B (Singapore, PUE 1.75)",Singapore,66,0.000131293,0.034072011,1.75,452.14,0.000229763,0.000103884962,0.103884962
"Escenario A (Finland, PUE 1.25)",Finland,67,0.000127356,0.033050352,1.25,76.02,0.000159195,0.000012102553,0.012102553
"Escenario B (Singapore, PUE 1.75)",Singapore,67,0.000127356,0.033050352,1.75,452.14,0.000222873,0.000100769941,0.100769941
"Escenario A (Finland, PUE 1.25)",Finland,68,0.000127696,0.033138412,1.25,76.02,0.000159619,0.000012134800,0.012134800
"Escenario B (Singapore, PUE 1.75)",Singapore,68,0.000127696,0.033138412,1.75,452.14,0.000223467,0.000101038434,0.101038434
"Escenario A (Finland, PUE 1.25)",Finland,69,0.000132489,0.034382341,1.25,76.02,0.000165611,0.000012590308,0.012590308
"Escenario B (Singapore, PUE 1.75)",Singapore,69,0.000132489,0.034382341,1.75,452.14,0.000231856,0.000104831151,0.104831151
"Escenario A (Finland, PUE 1.25)",Finland,70,0.000131830,0.034211377,1.25,76.02,0.000164788,0.000012527704,0.012527704
"Escenario B (Singapore, PUE 1.75)",Singapore,70,0.000131830,0.034211377,1.75,452.14,0.000230703,0.000104309886,0.104309886
"Escenario A (Finland, PUE 1.25)",Finland,71,0.000127480,0.033082354,1.25,76.02,0.000159349,0.000012114272,0.012114272
"Escenario B (Singapore, PUE 1.75)",Singapore,71,0.000127480,0.033082354,1.75,452.14,0.000223089,0.000100867515,0.100867515
"Escenario A (Finland, PUE 1.25)",Finland,72,0.000127087,0.032980490,1.25,76.02,0.000158859,0.000012076971,0.012076971
"Escenario B (Singapore, PUE 1.75)",Singapore,72,0.000127087,0.032980490,1.75,452.14,0.000222402,0.000100556933,0.100556933
"Escenario A (Finland, PUE 1.25)",Finland,73,0.000127007,0.032959741,1.25,76.02,0.000158759,0.000012069373,0.012069373
"Escenario B (Singapore, PUE 1.75)",Singapore,73,0.000127007,0.032959741,1.75,452.14,0.000222262,0.000100493670,0.100493670
"Escenario A (Finland, PUE 1.25)",Finland,74,0.000128144,0.033254807,1.25,76.02,0.000160180,0.000012177422,0.012177422
"Escenario B (Singapore, PUE 1.75)",Singapore,74,0.000128144,0.033254807,1.75,452.14,0.000224252,0.000101393321,0.101393321
"Escenario A (Finland, PUE 1.25)",Finland,75,0.000126602,0.032854656,1.25,76.02,0.000158253,0.000012030892,0.012030892
"Escenario B (Singapore, PUE 1.75)",Singapore,75,0.000126602,0.032854656,1.75,452.14,0.000221554,0.000100173266,0.100173266
"Escenario A (Finland, PUE 1.25)",Finland,76,0.000129174,0.033522027,1.25,76.02,0.000161467,0.000012275274,0.012275274
"Escenario B (Singapore, PUE 1.75)",Singapore,76,0.000129174,0.033522027,1.75,452.14,0.000226054,0.000102208070,0.102208070
"Escenario A (Finland, PUE 1.25)",Finland,77,0.000128828,0.033432194,1.25,76.02,0.000161034,0.000012242378,0.012242378
"Escenario B (Singapore, PUE 1.75)",Singapore,77,0.000128828,0.033432194,1.75,452.14,0.000225448,0.000101934170,0.101934170
"Escenario A (Finland, PUE 1.25)",Finland,78,0.000129721,0.033664032,1.25,76.02,0.000162151,0.000012327274,0.012327274
"Escenario B (Singapore, PUE 1.75)",Singapore,78,0.000129721,0.033664032,1.75,452.14,0.000227012,0.000102641041,0.102641041
"Escenario A (Finland, PUE 1.25)",Finland,79,0.000128085,0.033239436,1.25,76.02,0.000160106,0.000012171793,0.012171793
"Escenario B (Singapore, PUE 1.75)",Singapore,79,0.000128085,0.033239436,1.75,452.14,0.000224148,0.000101346454,0.101346454
"Escenario A (Finland, PUE 1.25)",Finland,80,0.000128440,0.033331504,1.25,76.02,0.000160549,0.000012205507,0.012205507
"Escenario B (Singapore, PUE 1.75)",Singapore,80,0.000128440,0.033331504,1.75,452.14,0.000224769,0.000101627168,0.101627168
"Escenario A (Finland, PUE 1.25)",Finland,81,0.000127701,0.033139857,1.25,76.02,0.000159626,0.000012135329,0.012135329
"Escenario B (Singapore, PUE 1.75)",Singapore,81,0.000127701,0.033139857,1.75,452.14,0.000223477,0.000101042840,0.101042840
"Escenario A (Finland, PUE 1.25)",Finland,82,0.000126031,0.032706347,1.25,76.02,0.000157538,0.000011976584,0.011976584
"Escenario B (Singapore, PUE 1.75)",Singapore,82,0.000126031,0.032706347,1.75,452.14,0.000220554,0.000099721076,0.099721076
"Escenario A (Finland, PUE 1.25)",Finland,83,0.000128144,0.033254719,1.25,76.02,0.000160180,0.000012177390,0.012177390
"Escenario B (Singapore, PUE 1.75)",Singapore,83,0.000128144,0.033254719,1.75,452.14,0.000224251,0.000101393052,0.101393052
"Escenario A (Finland, PUE 1.25)",Finland,84,0.000126430,0.032809872,1.25,76.02,0.000158037,0.000012014493,0.012014493
"Escenario B (Singapore, PUE 1.75)",Singapore,84,0.000126430,0.032809872,1.75,452.14,0.000221252,0.000100036722,0.100036722
"Escenario A (Finland, PUE 1.25)",Finland,85,0.000125364,0.032533446,1.25,76.02,0.000156705,0.000011913270,0.011913270
"Escenario B (Singapore, PUE 1.75)",Singapore,85,0.000125364,0.032533446,1.75,452.14,0.000219388,0.000099193905,0.099193905
"Escenario A (Finland, PUE 1.25)",Finland,86,0.000130434,0.033849208,1.25,76.02,0.000163043,0.000012395083,0.012395083
"Escenario B (Singapore, PUE 1.75)",Singapore,86,0.000130434,0.033849208,1.75,452.14,0.000228260,0.000103205638,0.103205638
"Escenario A (Finland, PUE 1.25)",Finland,87,0.000130859,0.033959327,1.25,76.02,0.000163574,0.000012435407,0.012435407
"Escenario B (Singapore, PUE 1.75)",Singapore,87,0.000130859,0.033959327,1.75,452.14,0.000229003,0.000103541391,0.103541391
"Escenario A (Finland, PUE 1.25)",Finland,88,0.000131562,0.034141891,1.25,76.02,0.000164453,0.000012502259,0.012502259
"Escenario B (Singapore, PUE 1.75)",Singapore,88,0.000131562,0.034141891,1.75,452.14,0.000230234,0.000104098024,0.104098024
"Escenario A (Finland, PUE 1.25)",Finland,89,0.000131999,0.034255271,1.25,76.02,0.000164999,0.000012543777,0.012543777
"Escenario B (Singapore, PUE 1.75)",Singapore,89,0.000131999,0.034255271,1.75,452.14,0.000230999,0.000104443717,0.104443717
"Escenario A (Finland, PUE 1.25)",Finland,90,0.000129707,0.033660526,1.25,76.02,0.000162134,0.000012325990,0.012325990
"Escenario B (Singapore, PUE 1.75)",Singapore,90,0.000129707,0.033660526,1.75,452.14,0.000226988,0.000102630351,0.102630351
"Escenario A (Finland, PUE 1.25)",Finland,91,0.000128644,0.033384446,1.25,76.02,0.000160804,0.000012224894,0.012224894
"Escenario B (Singapore, PUE 1.75)",Singapore,91,0.000128644,0.033384446,1.75,452.14,0.000225126,0.000101788590,0.101788590
"Escenario A (Finland, PUE 1.25)",Finland,92,0.000129234,0.033537660,1.25,76.02,0.000161542,0.000012280999,0.012280999
"Escenario B (Singapore, PUE 1.75)",Singapore,92,0.000129234,0.033537660,1.75,452.14,0.000226159,0.000102255736,0.102255736
"Escenario A (Finland, PUE 1.25)",Finland,93,0.000129528,0.033613966,1.25,76.02,0.000161910,0.000012308941,0.012308941
"Escenario B (Singapore, PUE 1.75)",Singapore,93,0.000129528,0.033613966,1.75,452.14,0.000226674,0.000102488390,0.102488390
"Escenario A (Finland, PUE 1.25)",Finland,94,0.000128435,0.033330389,1.25,76.02,0.000160544,0.000012205099,0.012205099
"Escenario B (Singapore, PUE 1.75)",Singapore,94,0.000128435,0.033330389,1.75,452.14,0.000224762,0.000101623771,0.101623771
"Escenario A (Finland, PUE 1.25)",Finland,95,0.000127920,0.033196683,1.25,76.02,0.000159900,0.000012156138,0.012156138
"Escenario B (Singapore, PUE 1.75)",Singapore,95,0.000127920,0.033196683,1.75,452.14,0.000223860,0.000101216101,0.101216101
"Escenario A (Finland, PUE 1.25)",Finland,96,0.000130376,0.033833953,1.25,76.02,0.000162970,0.000012389496,0.012389496
"Escenario B (Singapore, PUE 1.75)",Singapore,96,0.000130376,0.033833953,1.75,452.14,0.000228157,0.000103159126,0.103159126
"Escenario A (Finland, PUE 1.25)",Finland,97,0.000132141,0.034292009,1.25,76.02,0.000165176,0.000012557230,0.012557230
"Escenario B (Singapore, PUE 1.75)",Singapore,97,0.000132141,0.034292009,1.75,452.14,0.000231246,0.000104555731,0.104555731
"Escenario A (Finland, PUE 1.25)",Finland,98,0.000131621,0.034157187,1.25,76.02,0.000164527,0.000012507860,0.012507860
"Escenario B (Singapore, PUE 1.75)",Singapore,98,0.000131621,0.034157187,1.75,452.14,0.000230337,0.000104144661,0.104144661
"Escenario A (Finland, PUE 1.25)",Finland,99,0.000127152,0.032997409,1.25,76.02,0.000158940,0.000012083166,0.012083166
"Escenario B (Singapore, PUE 1.75)",Singapore,99,0.000127152,0.032997409,1.75,452.14,0.000222516,0.000100608518,0.100608518
"Escenario A (Finland, PUE 1.25)",Finland,100,0.000128185,0.033265567,1.25,76.02,0.000160232,0.000012181362,0.012181362
"Escenario B (Singapore, PUE 1.75)",Singapore,100,0.000128185,0.033265567,1.75,452.14,0.000224325,0.000101426127,0.101426127
